"ITEM","DMDUNIT","MAX_DATE","BASEPRICE","LOC","SPZONE","PMZONE","U_COUNTRY"
"220281145","220286141_NOCOLOUR",28-MAR-22,13.607,"307390003","7_79","8_252","OMN"
"220281145","220286141_NOCOLOUR",28-MAR-22,13.607,"307490003","7_79","8_252","OMN"
"220281148","220286147_NOCOLOUR",28-MAR-22,1.683,"308630003","7_79","8_252","OMN"
"220281148","220286147_NOCOLOUR",28-MAR-22,1.683,"307390003","7_79","8_252","OMN"
"220281148","220286147_NOCOLOUR",28-MAR-22,1.683,"307490003","7_79","8_252","OMN"
"220281153","220286149_NOCOLOUR",28-MAR-22,2.141,"308630003","7_79","8_252","OMN"
"220281153","220286149_NOCOLOUR",28-MAR-22,2.141,"307390003","7_79","8_252","OMN"
"220281153","220286149_NOCOLOUR",28-MAR-22,2.141,"307490003","7_79","8_252","OMN"
"220286157","220286150_NOCOLOUR",28-MAR-22,1.365,"308630003","7_79","8_252","OMN"
"220286157","220286150_NOCOLOUR",28-MAR-22,1.365,"307390003","7_79","8_252","OMN"
"220286157","220286150_NOCOLOUR",28-MAR-22,1.365,"307490003","7_79","8_252","OMN"
"220286158","220286151_NOCOLOUR",28-MAR-22,9.828,"308630003","7_79","8_252","OMN"
"220286158","220286151_NOCOLOUR",28-MAR-22,9.828,"307390003","7_79","8_252","OMN"
"220286158","220286151_NOCOLOUR",28-MAR-22,9.828,"307490003","7_79","8_252","OMN"
"220286159","220286152_NOCOLOUR",28-MAR-22,7.609,"308630003","7_79","8_252","OMN"
"220286159","220286152_NOCOLOUR",28-MAR-22,7.609,"307390003","7_79","8_252","OMN"
"220286159","220286152_NOCOLOUR",28-MAR-22,7.609,"307490003","7_79","8_252","OMN"
"220286165","220286154_NOCOLOUR",28-MAR-22,6.226,"308630003","7_79","8_252","OMN"
"220286165","220286154_NOCOLOUR",28-MAR-22,6.226,"307390003","7_79","8_252","OMN"
"220286165","220286154_NOCOLOUR",28-MAR-22,6.226,"307490003","7_79","8_252","OMN"
"220286162","220286156_NOCOLOUR",28-MAR-22,8.484,"308630003","7_79","8_252","OMN"
"220286162","220286156_NOCOLOUR",28-MAR-22,8.484,"307390003","7_79","8_252","OMN"
"220286162","220286156_NOCOLOUR",28-MAR-22,8.484,"307490003","7_79","8_252","OMN"
"220281159","220286161_NOCOLOUR",28-MAR-22,2.804,"308630003","7_79","8_252","OMN"
"220281159","220286161_NOCOLOUR",28-MAR-22,2.804,"307390003","7_79","8_252","OMN"
"220281159","220286161_NOCOLOUR",28-MAR-22,2.804,"307490003","7_79","8_252","OMN"
"220281165","220286163_NOCOLOUR",28-MAR-22,2.141,"308630003","7_79","8_252","OMN"
"220281165","220286163_NOCOLOUR",28-MAR-22,2.141,"307390003","7_79","8_252","OMN"
"220281165","220286163_NOCOLOUR",28-MAR-22,2.141,"307490003","7_79","8_252","OMN"
"220286171","220286164_NOCOLOUR",28-MAR-22,13.954,"308630003","7_79","8_252","OMN"
"220286171","220286164_NOCOLOUR",28-MAR-22,13.954,"307390003","7_79","8_252","OMN"
"220286171","220286164_NOCOLOUR",28-MAR-22,13.954,"307490003","7_79","8_252","OMN"
"220281166","220286166_NOCOLOUR",28-MAR-22,0.866,"308630003","7_79","8_252","OMN"
"220281166","220286166_NOCOLOUR",28-MAR-22,0.866,"307390003","7_79","8_252","OMN"
"220281166","220286166_NOCOLOUR",28-MAR-22,0.866,"307490003","7_79","8_252","OMN"
"220281161","220286167_NOCOLOUR",28-MAR-22,1.07,"308630003","7_79","8_252","OMN"
"220281161","220286167_NOCOLOUR",28-MAR-22,1.07,"307390003","7_79","8_252","OMN"
"220281161","220286167_NOCOLOUR",28-MAR-22,1.07,"307490003","7_79","8_252","OMN"
"220281164","220286168_NOCOLOUR",28-MAR-22,1.274,"308630003","7_79","8_252","OMN"
"220281164","220286168_NOCOLOUR",28-MAR-22,1.274,"307390003","7_79","8_252","OMN"
"220281164","220286168_NOCOLOUR",28-MAR-22,1.274,"307490003","7_79","8_252","OMN"
"220281168","220286169_NOCOLOUR",28-MAR-22,0.866,"308630003","7_79","8_252","OMN"
"220281168","220286169_NOCOLOUR",28-MAR-22,0.866,"307390003","7_79","8_252","OMN"
"220281168","220286169_NOCOLOUR",28-MAR-22,0.866,"307490003","7_79","8_252","OMN"
"220286174","220286173_NOCOLOUR",28-MAR-22,6.983,"308630003","7_79","8_252","OMN"
"220286174","220286173_NOCOLOUR",28-MAR-22,6.983,"307390003","7_79","8_252","OMN"
"220286174","220286173_NOCOLOUR",28-MAR-22,6.983,"307490003","7_79","8_252","OMN"
"220296138","220291182_NOCOLOUR",28-MAR-22,0.105,"308630003","7_79","8_252","OMN"
"220296138","220291182_NOCOLOUR",28-MAR-22,0.105,"307390003","7_79","8_252","OMN"
